image_id,original_path,crop,class_label,source,sha256,file_size_bytes,width,height,format,integrity_ok,phash,group_id,partition,family_size,source_aware_split
blast_train_00001,finaldataset\rice_dataset\train\blast\blast_train_00001.jpg,rice,blast,RiceDisease_Unknown,68dac086a6ad4579ae08c013238333222943194af085b9650b87ce42a3b9d46a,15475,224,224,jpg,True,c1b77d1b371f1801,rice__blast__grp_00001,train,2,val
blast_train_00002,finaldataset\rice_dataset\train\blast\blast_train_00002.jpg,rice,blast,RiceDisease_Unknown,cca252a8321516dfa839ca8df00ab235be86a5f28880761db5ef0e481b4494c7,19645,224,224,jpg,True,8383876df8bf824c,rice__blast__grp_00002,train,2,train
blast_train_00003,finaldataset\rice_dataset\train\blast\blast_train_00003.jpg,rice,blast,RiceDisease_Unknown,979d051602f7a039161ed0a6992c7365a83376f87c28d96e1adfd4bde67e4c8a,15922,224,224,jpg,True,e303a31146bfbe58,rice__blast__grp_00003,train,4,train
blast_train_00004,finaldataset\rice_dataset\train\blast\blast_train_00004.jpg,rice,blast,RiceDisease_Unknown,d238e93856a7948306f47155c9fef2046bd37c9159a0e57963dc9cf7cda27d48,13350,224,224,jpg,True,991de569e80aea1e,rice__blast__grp_00004,train,2,train
blast_train_00005,finaldataset\rice_dataset\train\blast\blast_train_00005.jpg,rice,blast,RiceDisease_Unknown,953f2aedfd321473eaae75a3947b71e949ed4932877fdfc8f59639d735879122,15032,224,224,jpg,True,a9346bce1358b3c6,rice__blast__grp_00005,train,2,train
blast_train_00006,finaldataset\rice_dataset\train\blast\blast_train_00006.jpg,rice,blast,RiceDisease_Unknown,8d9856077076b59af79786ecf10f1451bdd9485e576173b130968d0b8a500991,17281,224,224,jpg,True,c89ef6c11b72063d,rice__blast__grp_00006,train,2,val
blast_train_00007,finaldataset\rice_dataset\train\blast\blast_train_00007.jpg,rice,blast,RiceDisease_Unknown,5c47533cf99fcfc37be8237af5f54816e19c62ed1af2ca9fc3b628cbbf79b92c,18087,224,224,jpg,True,d985b789e719f300,rice__blast__grp_00007,train,2,test
blast_train_00008,finaldataset\rice_dataset\train\blast\blast_train_00008.jpg,rice,blast,RiceDisease_Unknown,1e58eba47f4ffe7efef0f3ee8b43657f6bcbe924b517aa0e49496da07a1fd19e,13244,224,224,jpg,True,a86e9a896f9b41b4,rice__blast__grp_00008,train,2,train
blast_train_00009,finaldataset\rice_dataset\train\blast\blast_train_00009.jpg,rice,blast,RiceDisease_Unknown,94fa973431052a4671d239825f733dbd7747374e23bd536f6d673bc1cb93e31b,15810,224,224,jpg,True,ea488ff0077d007f,rice__blast__grp_00009,train,2,train
blast_train_00010,finaldataset\rice_dataset\train\blast\blast_train_00010.jpg,rice,blast,RiceDisease_Unknown,d8d840fd4b623377a51f3981ed9546322dc804e6bae30f06f42370f43b35fa8c,17053,224,224,jpg,True,fa95170702f87572,rice__blast__grp_00010,train,2,train
blast_train_00011,finaldataset\rice_dataset\train\blast\blast_train_00011.jpg,rice,blast,RiceDisease_Unknown,3d151d6aa84e9fd7b66ff72bf5ea7737e4a75fda4e5ab6f970e3ba73501f755b,17313,224,224,jpg,True,95237a9b5af0664a,rice__blast__grp_00011,train,2,train
blast_train_00012,finaldataset\rice_dataset\train\blast\blast_train_00012.jpg,rice,blast,RiceDisease_Unknown,9aa63c67e30f075d469ff38dc6af7d2de1dd40f04150b6a62867ac11ce336165,22939,224,224,jpg,True,fc36eac03be1c286,rice__blast__grp_00012,train,2,train
blast_train_00013,finaldataset\rice_dataset\train\blast\blast_train_00013.jpg,rice,blast,RiceDisease_Unknown,32a3aff684eab6ce8261e9c5062084785ef7ba187aea1931569fdd142a642232,16190,224,224,jpg,True,aed560504871fd9e,rice__blast__grp_00013,train,2,test
blast_train_00014,finaldataset\rice_dataset\train\blast\blast_train_00014.jpg,rice,blast,RiceDisease_Unknown,4ff0b0a6b48b6c678d81f819d1e50446d22a46fc6e779ddad86a27ad639b31a4,22801,224,224,jpg,True,d5440aa2698e7f1f,rice__blast__grp_00014,train,2,val
blast_train_00015,finaldataset\rice_dataset\train\blast\blast_train_00015.jpg,rice,blast,RiceDisease_Unknown,6f3dba02e14e18e413d0a05b9dad9a616b2ab4fb5402567e1e041c46c4f7c462,13451,224,224,jpg,True,e843a539b066976e,rice__blast__grp_00015,train,2,test
blast_train_00016,finaldataset\rice_dataset\train\blast\blast_train_00016.jpg,rice,blast,RiceDisease_Unknown,82500814469706801660505c7685ee9618426c036fe43617588241e47b2dd34c,17980,224,224,jpg,True,946a4e5de10dd5d4,rice__blast__grp_00016,test,2,train
blast_train_00017,finaldataset\rice_dataset\train\blast\blast_train_00017.jpg,rice,blast,RiceDisease_Unknown,cb08d74b510781869431cc87126389e33d9cc361482a24957809850166f97fdc,22709,224,224,jpg,True,b548e437a81e69b3,rice__blast__grp_00017,train,2,val
blast_train_00018,finaldataset\rice_dataset\train\blast\blast_train_00018.jpg,rice,blast,RiceDisease_Unknown,00bf2b02c2e7829b4569fb11b0c0f26395bcbaacc43d4d74d42b650073d8e6cb,22052,224,224,jpg,True,ff20604b5b73ee10,rice__blast__grp_00018,train,2,train
blast_train_00019,finaldataset\rice_dataset\train\blast\blast_train_00019.jpg,rice,blast,RiceDisease_Unknown,a0e0d8c45c819b85781c308e313cbef2451b5358d64a16f0d165db7957f51bee,18880,224,224,jpg,True,9993640efac3eca1,rice__blast__grp_00019,train,2,train
blast_train_00020,finaldataset\rice_dataset\train\blast\blast_train_00020.jpg,rice,blast,RiceDisease_Unknown,2510445c418b8fd4005189b9efed3fd6eca8d0fb73695d86ef0b812f2b45d500,18587,224,224,jpg,True,edb61399590dcc0e,rice__blast__grp_00020,train,2,train
blast_train_00021,finaldataset\rice_dataset\train\blast\blast_train_00021.jpg,rice,blast,RiceDisease_Unknown,9e44f36bed15b1e451cd3718aa8be846a6a69881e028340b68d5dfe2ee0ecfa3,16191,224,224,jpg,True,c381b7a89f3c8719,rice__blast__grp_00021,train,2,train
blast_train_00022,finaldataset\rice_dataset\train\blast\blast_train_00022.jpg,rice,blast,RiceDisease_Unknown,421dac131f7786486518fe922bad5ecc1773e1c521e0beb527715d8088da7a06,14521,224,224,jpg,True,b792f8bf435083b0,rice__blast__grp_00022,train,2,train
