image_id,original_path,crop,class_label,source,sha256,file_size_bytes,width,height,format,integrity_ok,phash,group_id,partition,family_size
blast_train_00001,finaldataset\rice_dataset\train\blast\blast_train_00001.jpg,rice,blast,RiceDisease_Unknown,68dac086a6ad4579ae08c013238333222943194af085b9650b87ce42a3b9d46a,15475,224,224,jpg,True,c1b77d1b371f1801,rice__blast__grp_00001,train,2
blast_train_00002,finaldataset\rice_dataset\train\blast\blast_train_00002.jpg,rice,blast,RiceDisease_Unknown,cca252a8321516dfa839ca8df00ab235be86a5f28880761db5ef0e481b4494c7,19645,224,224,jpg,True,8383876df8bf824c,rice__blast__grp_00002,train,2
blast_train_00003,finaldataset\rice_dataset\train\blast\blast_train_00003.jpg,rice,blast,RiceDisease_Unknown,979d051602f7a039161ed0a6992c7365a83376f87c28d96e1adfd4bde67e4c8a,15922,224,224,jpg,True,e303a31146bfbe58,rice__blast__grp_00003,train,4
blast_train_00004,finaldataset\rice_dataset\train\blast\blast_train_00004.jpg,rice,blast,RiceDisease_Unknown,d238e93856a7948306f47155c9fef2046bd37c9159a0e57963dc9cf7cda27d48,13350,224,224,jpg,True,991de569e80aea1e,rice__blast__grp_00004,train,2
blast_train_00005,finaldataset\rice_dataset\train\blast\blast_train_00005.jpg,rice,blast,RiceDisease_Unknown,953f2aedfd321473eaae75a3947b71e949ed4932877fdfc8f59639d735879122,15032,224,224,jpg,True,a9346bce1358b3c6,rice__blast__grp_00005,train,2
blast_train_00006,finaldataset\rice_dataset\train\blast\blast_train_00006.jpg,rice,blast,RiceDisease_Unknown,8d9856077076b59af79786ecf10f1451bdd9485e576173b130968d0b8a500991,17281,224,224,jpg,True,c89ef6c11b72063d,rice__blast__grp_00006,train,2
blast_train_00007,finaldataset\rice_dataset\train\blast\blast_train_00007.jpg,rice,blast,RiceDisease_Unknown,5c47533cf99fcfc37be8237af5f54816e19c62ed1af2ca9fc3b628cbbf79b92c,18087,224,224,jpg,True,d985b789e719f300,rice__blast__grp_00007,train,2
blast_train_00008,finaldataset\rice_dataset\train\blast\blast_train_00008.jpg,rice,blast,RiceDisease_Unknown,1e58eba47f4ffe7efef0f3ee8b43657f6bcbe924b517aa0e49496da07a1fd19e,13244,224,224,jpg,True,a86e9a896f9b41b4,rice__blast__grp_00008,train,2
blast_train_00009,finaldataset\rice_dataset\train\blast\blast_train_00009.jpg,rice,blast,RiceDisease_Unknown,94fa973431052a4671d239825f733dbd7747374e23bd536f6d673bc1cb93e31b,15810,224,224,jpg,True,ea488ff0077d007f,rice__blast__grp_00009,train,2
blast_train_00010,finaldataset\rice_dataset\train\blast\blast_train_00010.jpg,rice,blast,RiceDisease_Unknown,d8d840fd4b623377a51f3981ed9546322dc804e6bae30f06f42370f43b35fa8c,17053,224,224,jpg,True,fa95170702f87572,rice__blast__grp_00010,train,2
