image_id,original_path,crop,class_label,source,sha256,file_size_bytes,width,height,format,integrity_ok,phash,group_id,partition
blast_train_00001,finaldataset\rice_dataset\train\blast\blast_train_00001.jpg,rice,blast,RiceDisease_Unknown,68dac086a6ad4579ae08c013238333222943194af085b9650b87ce42a3b9d46a,15475,,,jpg,,,,
blast_train_00002,finaldataset\rice_dataset\train\blast\blast_train_00002.jpg,rice,blast,RiceDisease_Unknown,cca252a8321516dfa839ca8df00ab235be86a5f28880761db5ef0e481b4494c7,19645,,,jpg,,,,
blast_train_00003,finaldataset\rice_dataset\train\blast\blast_train_00003.jpg,rice,blast,RiceDisease_Unknown,979d051602f7a039161ed0a6992c7365a83376f87c28d96e1adfd4bde67e4c8a,15922,,,jpg,,,,
blast_train_00004,finaldataset\rice_dataset\train\blast\blast_train_00004.jpg,rice,blast,RiceDisease_Unknown,d238e93856a7948306f47155c9fef2046bd37c9159a0e57963dc9cf7cda27d48,13350,,,jpg,,,,
blast_train_00005,finaldataset\rice_dataset\train\blast\blast_train_00005.jpg,rice,blast,RiceDisease_Unknown,953f2aedfd321473eaae75a3947b71e949ed4932877fdfc8f59639d735879122,15032,,,jpg,,,,
blast_train_00006,finaldataset\rice_dataset\train\blast\blast_train_00006.jpg,rice,blast,RiceDisease_Unknown,8d9856077076b59af79786ecf10f1451bdd9485e576173b130968d0b8a500991,17281,,,jpg,,,,
blast_train_00007,finaldataset\rice_dataset\train\blast\blast_train_00007.jpg,rice,blast,RiceDisease_Unknown,5c47533cf99fcfc37be8237af5f54816e19c62ed1af2ca9fc3b628cbbf79b92c,18087,,,jpg,,,,
blast_train_00008,finaldataset\rice_dataset\train\blast\blast_train_00008.jpg,rice,blast,RiceDisease_Unknown,1e58eba47f4ffe7efef0f3ee8b43657f6bcbe924b517aa0e49496da07a1fd19e,13244,,,jpg,,,,
blast_train_00009,finaldataset\rice_dataset\train\blast\blast_train_00009.jpg,rice,blast,RiceDisease_Unknown,94fa973431052a4671d239825f733dbd7747374e23bd536f6d673bc1cb93e31b,15810,,,jpg,,,,
blast_train_00010,finaldataset\rice_dataset\train\blast\blast_train_00010.jpg,rice,blast,RiceDisease_Unknown,d8d840fd4b623377a51f3981ed9546322dc804e6bae30f06f42370f43b35fa8c,17053,,,jpg,,,,
blast_train_00011,finaldataset\rice_dataset\train\blast\blast_train_00011.jpg,rice,blast,RiceDisease_Unknown,3d151d6aa84e9fd7b66ff72bf5ea7737e4a75fda4e5ab6f970e3ba73501f755b,17313,,,jpg,,,,
blast_train_00012,finaldataset\rice_dataset\train\blast\blast_train_00012.jpg,rice,blast,RiceDisease_Unknown,9aa63c67e30f075d469ff38dc6af7d2de1dd40f04150b6a62867ac11ce336165,22939,,,jpg,,,,
blast_train_00013,finaldataset\rice_dataset\train\blast\blast_train_00013.jpg,rice,blast,RiceDisease_Unknown,32a3aff684eab6ce8261e9c5062084785ef7ba187aea1931569fdd142a642232,16190,,,jpg,,,,
blast_train_00014,finaldataset\rice_dataset\train\blast\blast_train_00014.jpg,rice,blast,RiceDisease_Unknown,4ff0b0a6b48b6c678d81f819d1e50446d22a46fc6e779ddad86a27ad639b31a4,22801,,,jpg,,,,
blast_train_00015,finaldataset\rice_dataset\train\blast\blast_train_00015.jpg,rice,blast,RiceDisease_Unknown,6f3dba02e14e18e413d0a05b9dad9a616b2ab4fb5402567e1e041c46c4f7c462,13451,,,jpg,,,,
blast_train_00016,finaldataset\rice_dataset\train\blast\blast_train_00016.jpg,rice,blast,RiceDisease_Unknown,82500814469706801660505c7685ee9618426c036fe43617588241e47b2dd34c,17980,,,jpg,,,,
blast_train_00017,finaldataset\rice_dataset\train\blast\blast_train_00017.jpg,rice,blast,RiceDisease_Unknown,cb08d74b510781869431cc87126389e33d9cc361482a24957809850166f97fdc,22709,,,jpg,,,,
blast_train_00018,finaldataset\rice_dataset\train\blast\blast_train_00018.jpg,rice,blast,RiceDisease_Unknown,00bf2b02c2e7829b4569fb11b0c0f26395bcbaacc43d4d74d42b650073d8e6cb,22052,,,jpg,,,,
blast_train_00019,finaldataset\rice_dataset\train\blast\blast_train_00019.jpg,rice,blast,RiceDisease_Unknown,a0e0d8c45c819b85781c308e313cbef2451b5358d64a16f0d165db7957f51bee,18880,,,jpg,,,,
blast_train_00020,finaldataset\rice_dataset\train\blast\blast_train_00020.jpg,rice,blast,RiceDisease_Unknown,2510445c418b8fd4005189b9efed3fd6eca8d0fb73695d86ef0b812f2b45d500,18587,,,jpg,,,,
blast_train_00021,finaldataset\rice_dataset\train\blast\blast_train_00021.jpg,rice,blast,RiceDisease_Unknown,9e44f36bed15b1e451cd3718aa8be846a6a69881e028340b68d5dfe2ee0ecfa3,16191,,,jpg,,,,
blast_train_00022,finaldataset\rice_dataset\train\blast\blast_train_00022.jpg,rice,blast,RiceDisease_Unknown,421dac131f7786486518fe922bad5ecc1773e1c521e0beb527715d8088da7a06,14521,,,jpg,,,,
blast_train_00023,finaldataset\rice_dataset\train\blast\blast_train_00023.jpg,rice,blast,RiceDisease_Unknown,19ce6f53c4354d5dfb4c3daf76611eca0f8e1f95f0e0890ba47f7e8ab064504c,15560,,,jpg,,,,
blast_train_00024,finaldataset\rice_dataset\train\blast\blast_train_00024.jpg,rice,blast,RiceDisease_Unknown,304b69ab60f19117116ef1edd3df7a8b0c56d1b785eeb1ddf56ddc20c7188d43,11854,,,jpg,,,,
blast_train_00025,finaldataset\rice_dataset\train\blast\blast_train_00025.jpg,rice,blast,RiceDisease_Unknown,bec172391ad6075d71a1c5480ea2509bd0945a892f8dc0b957fc732774f73d4f,19359,,,jpg,,,,
blast_train_00026,finaldataset\rice_dataset\train\blast\blast_train_00026.jpg,rice,blast,RiceDisease_Unknown,d5cc72915e5351b053158aa2609b20af819440e5f942a9ecd451f7fd6eccac00,16042,,,jpg,,,,
blast_train_00027,finaldataset\rice_dataset\train\blast\blast_train_00027.jpg,rice,blast,RiceDisease_Unknown,7af88de931c8c7c862c9f501864db600d2cb3a59790468934126f29c09f9279a,18901,,,jpg,,,,
blast_train_00028,finaldataset\rice_dataset\train\blast\blast_train_00028.jpg,rice,blast,RiceDisease_Unknown,81925b88fe8d862262022dc9ec1bb258de872f2d07ec6086e99732342ad54436,10202,,,jpg,,,,
blast_train_00029,finaldataset\rice_dataset\train\blast\blast_train_00029.jpg,rice,blast,RiceDisease_Unknown,e05044349f6123de8136faecc259b8c03a7f5a704dc8559a913fdd3f8c3a97d9,18841,,,jpg,,,,
blast_train_00030,finaldataset\rice_dataset\train\blast\blast_train_00030.jpg,rice,blast,RiceDisease_Unknown,49261d6ae1c88c7a068f58c6464425e86c64355882fdd9fe1742b28d436a06fa,17971,,,jpg,,,,
blast_train_00031,finaldataset\rice_dataset\train\blast\blast_train_00031.jpg,rice,blast,RiceDisease_Unknown,880dd49e6922d62c03c76728f884e35233b81f52743e1aac795534dbea86a784,20696,,,jpg,,,,
blast_train_00032,finaldataset\rice_dataset\train\blast\blast_train_00032.jpg,rice,blast,RiceDisease_Unknown,3dbc9acec8f55aa20f4065a8054ca23f7bdd2e2181bef27c89309dbba20d7598,19850,,,jpg,,,,
blast_train_00033,finaldataset\rice_dataset\train\blast\blast_train_00033.jpg,rice,blast,RiceDisease_Unknown,ce2e12b8c4ba1ea24ad3fe2671a1b2d12a595e183bb5e64c890eae5718b09370,19085,,,jpg,,,,
blast_train_00034,finaldataset\rice_dataset\train\blast\blast_train_00034.jpg,rice,blast,RiceDisease_Unknown,007cf9912d7fa55cee9686180d139c838e5688130edcf33a29c76bf8cebf7396,14924,,,jpg,,,,
blast_train_00035,finaldataset\rice_dataset\train\blast\blast_train_00035.jpg,rice,blast,RiceDisease_Unknown,0855cc2476fe17312efa820783ab59d42e892a9e8a4d1da01ee67d761cc8943d,14765,,,jpg,,,,
blast_train_00036,finaldataset\rice_dataset\train\blast\blast_train_00036.jpg,rice,blast,RiceDisease_Unknown,4436731a173ecef4bb1357d0498a7271c19f919f93a14f72759966347321e436,14732,,,jpg,,,,
blast_train_00037,finaldataset\rice_dataset\train\blast\blast_train_00037.jpg,rice,blast,RiceDisease_Unknown,5140e3ed5aeaf98f9ce1fac2430c391d60b58a0e3869ac6dbd3929da9b90da4d,20762,,,jpg,,,,
blast_train_00038,finaldataset\rice_dataset\train\blast\blast_train_00038.jpg,rice,blast,RiceDisease_Unknown,211556a312d64691bf8d065db7aaab4dc153c602731b5a1bd9f8d72bb42da18e,19373,,,jpg,,,,
blast_train_00039,finaldataset\rice_dataset\train\blast\blast_train_00039.jpg,rice,blast,RiceDisease_Unknown,288404691a5d06e111cdebdbcd4b7b2ccc1a4ed7a3be64a73fcbc09ed8aee7df,14794,,,jpg,,,,
blast_train_00040,finaldataset\rice_dataset\train\blast\blast_train_00040.jpg,rice,blast,RiceDisease_Unknown,239ad249866e0042b7fec1dda5996eabe320a45878aea2b950307dfb4d259cf3,19919,,,jpg,,,,
blast_train_00041,finaldataset\rice_dataset\train\blast\blast_train_00041.jpg,rice,blast,RiceDisease_Unknown,a973580f6ea0f88ddb8c1aac3ac0d5c37edf7f6900f3dc44cbfd205433587125,17126,,,jpg,,,,
blast_train_00042,finaldataset\rice_dataset\train\blast\blast_train_00042.jpg,rice,blast,RiceDisease_Unknown,cffc890fa5fa73a8322e2cade16d9b42da22e8a02ccff2242bc1d2e030ec403a,11002,,,jpg,,,,
blast_train_00043,finaldataset\rice_dataset\train\blast\blast_train_00043.jpg,rice,blast,RiceDisease_Unknown,9d78c2dda8ef32d65cedc367b1d91d69f59353a8af7336ae97bd7c42e55a74cc,12554,,,jpg,,,,
blast_train_00044,finaldataset\rice_dataset\train\blast\blast_train_00044.jpg,rice,blast,RiceDisease_Unknown,0a0f0daf5d2c0de64c3a7ed1269522fde96d9e13a78f63d8e4ea6a8192bff523,16140,,,jpg,,,,
blast_train_00045,finaldataset\rice_dataset\train\blast\blast_train_00045.jpg,rice,blast,RiceDisease_Unknown,6583cc3a0e603a084d77dd402057d446d5b85a6b226bc571011dd845be128f56,15028,,,jpg,,,,
blast_train_00046,finaldataset\rice_dataset\train\blast\blast_train_00046.jpg,rice,blast,RiceDisease_Unknown,adfd89ad3d1a13323d083f3df3cc2c9435371d7ca45d2109e90cf1931bebc02c,14787,,,jpg,,,,
blast_train_00047,finaldataset\rice_dataset\train\blast\blast_train_00047.jpg,rice,blast,RiceDisease_Unknown,040ca90507a14a1b9cd0444cddf1a1d374bcdd9e9ca5ae1adf7acd9584b4fb6b,13433,,,jpg,,,,
blast_train_00048,finaldataset\rice_dataset\train\blast\blast_train_00048.jpg,rice,blast,RiceDisease_Unknown,1f8dfb86c3881277a2ede31a054b5c3e8e79112a0c006f70c81c4b3f2efd9254,19738,,,jpg,,,,
blast_train_00049,finaldataset\rice_dataset\train\blast\blast_train_00049.jpg,rice,blast,RiceDisease_Unknown,4808d5ddb5c937224db2d65cb75b72873cf6edeb845e1d7aabc8461729822c8c,21304,,,jpg,,,,
blast_train_00050,finaldataset\rice_dataset\train\blast\blast_train_00050.jpg,rice,blast,RiceDisease_Unknown,c2e82e819598cc42146c5db3d91b40483addc8cd61de7b04d94b71b0791c8f9c,15328,,,jpg,,,,
blast_train_00051,finaldataset\rice_dataset\train\blast\blast_train_00051.jpg,rice,blast,RiceDisease_Unknown,d08e7421389c1b0c76e8572d0969a57235644a9f6684f601ebb28287163521ec,9822,,,jpg,,,,
blast_train_00052,finaldataset\rice_dataset\train\blast\blast_train_00052.jpg,rice,blast,RiceDisease_Unknown,101559b13fe3ec5eabe8b961d3b33e581686ab9c7fcd96fc6b5eb82c7a72e639,22851,,,jpg,,,,
blast_train_00053,finaldataset\rice_dataset\train\blast\blast_train_00053.jpg,rice,blast,RiceDisease_Unknown,f4ad9409ca195858bba7f34ad7d76d0bc5783a544d0e06053593eb8fff6cb6c7,15595,,,jpg,,,,
blast_train_00054,finaldataset\rice_dataset\train\blast\blast_train_00054.jpg,rice,blast,RiceDisease_Unknown,3478a146087a7a6a5b98c555b6139f70c705c0cc7253624624c85a65379fd869,14797,,,jpg,,,,
blast_train_00055,finaldataset\rice_dataset\train\blast\blast_train_00055.jpg,rice,blast,RiceDisease_Unknown,5d4bb2897b3ba5227034ac886b4589ba9998bb5ec46c5b8b95746b76c68fe11d,15149,,,jpg,,,,
blast_train_00056,finaldataset\rice_dataset\train\blast\blast_train_00056.jpg,rice,blast,RiceDisease_Unknown,9ddb42e60ab0bd18c1aa632a185a9bda6ff103b21e5dc87b2f400613d007ee15,19609,,,jpg,,,,
blast_train_00057,finaldataset\rice_dataset\train\blast\blast_train_00057.jpg,rice,blast,RiceDisease_Unknown,b46039717b1eec425f7aff1e9335bdf519c1ce41e485416d8fcefe3a37d6266a,12292,,,jpg,,,,
blast_train_00058,finaldataset\rice_dataset\train\blast\blast_train_00058.jpg,rice,blast,RiceDisease_Unknown,3ba9b5395d2be806f061221af4b22ff2428124c8f5edc873eb78d8894382a8dd,12312,,,jpg,,,,
blast_train_00059,finaldataset\rice_dataset\train\blast\blast_train_00059.jpg,rice,blast,RiceDisease_Unknown,0accb6334939ecfbd5833723933410e03d1edea4d224ebbc31120e73616f5e36,21958,,,jpg,,,,
blast_train_00060,finaldataset\rice_dataset\train\blast\blast_train_00060.jpg,rice,blast,RiceDisease_Unknown,7b62862ef9648d4e81243be0bc02ee949211ebdb6005120e142aead504d0eb77,14591,,,jpg,,,,
blast_train_00061,finaldataset\rice_dataset\train\blast\blast_train_00061.jpg,rice,blast,RiceDisease_Unknown,fe09506fcde532474b18c82ac1e196e090384b16d0a8393071d951066b41bad8,16288,,,jpg,,,,
blast_train_00062,finaldataset\rice_dataset\train\blast\blast_train_00062.jpg,rice,blast,RiceDisease_Unknown,73ff1eae9f657059d215f7eb18cdfbb4e9373b4336365cf51c2162f0ceec0db0,12375,,,jpg,,,,
blast_train_00063,finaldataset\rice_dataset\train\blast\blast_train_00063.jpg,rice,blast,RiceDisease_Unknown,39c8b7f9c14c49dceb45d8d91b9e698ffbac225d3f90f49f3b7cdf69ffc51131,19884,,,jpg,,,,
blast_train_00064,finaldataset\rice_dataset\train\blast\blast_train_00064.jpg,rice,blast,RiceDisease_Unknown,ba784d70084b3dc32ae82f9d7e7099e8fb5ba5fc0b338a9336282263bf16d984,26181,,,jpg,,,,
