path,class,source,sha256,phash_family_id
clean_dataset/tomato_dataset/val/early_blight/80521.jpg,early_blight,tomato_dataset,b5190ae7e2b5d3cd944e8cc0c102b89b50e63c221a7098117c918d4bccb2ecd2,1
bounding_box_dataset/tomato/val/early_blight/80521.jpg,early_blight,tomato,5c6e9dcaea931799df16cd13f864e5df1069b0847eb98b11111879d93359ebf1,1
bounding_box_dataset/tomato/val/early_blight/80554.jpg,early_blight,tomato,d2d061ea5dbe0dbf64f3e6081854bc8f4a39874985cbc024abdf8d9594e9b82e,6
clean_dataset/tomato_dataset/val/early_blight/80554.jpg,early_blight,tomato_dataset,5bcc7c84393261c2de1992c3ca70880a4f1335ffb94ba2412682acbb12dde7ab,6
bounding_box_dataset/tomato/val/early_blight/80556.jpg,early_blight,tomato,18f3c7e587dee29d860dddbcbfdef8d2f555d1b3457d7f81cbecd4ecea49535d,8
clean_dataset/tomato_dataset/val/early_blight/80556.jpg,early_blight,tomato_dataset,74da56de49e693ddb670c22c052499e68f806568e1400d4dd3f32615125f3458,8
clean_dataset/tomato_dataset/val/early_blight/80606.jpg,early_blight,tomato_dataset,244eac589190900f9ef937a2fcab60257ef2e8b06d52b83a95f37b36f8117205,14
bounding_box_dataset/tomato/val/early_blight/80606.jpg,early_blight,tomato,c7838b3c446e20d214689fc4d34f8594e605a4a42d10d41fbcde1b49bef7acbe,14
bounding_box_dataset/tomato/val/early_blight/80620.jpg,early_blight,tomato,87c7b85f11413c7e669df0d036707672e77389145f6ec3af53729c0e3fb04225,16
clean_dataset/tomato_dataset/val/early_blight/80620.jpg,early_blight,tomato_dataset,9365c227592f7d814a673a83579bdbc97893b9d253496b8d7c39a44467cd7523,16
clean_dataset/tomato_dataset/val/early_blight/80638.jpg,early_blight,tomato_dataset,be3e1536f2df47f2593710869c19e4da031dda179ccd4f8e4c5d756dd7f4b48f,19
bounding_box_dataset/tomato/val/early_blight/80638.jpg,early_blight,tomato,c1f532a0550e2b490c16e2703f77008d528163f1e0cbd7382c8bbbef9228314d,19
bounding_box_dataset/tomato/val/early_blight/80646.jpg,early_blight,tomato,b409cd1e4a34332112c2ed84ead62526ce2f31b03cdc45523b02e7aaa23ad137,22
clean_dataset/tomato_dataset/val/early_blight/80646.jpg,early_blight,tomato_dataset,0661d44957b26db46968d944b734c0a2536ceabab548e9ca6bf26940a17f4efd,22
clean_dataset/tomato_dataset/val/early_blight/80710.jpg,early_blight,tomato_dataset,a80f78e3bc778287a57fa3d056aa33e015d0196e72770765477df13eeca19a59,30
bounding_box_dataset/tomato/val/early_blight/80710.jpg,early_blight,tomato,f53eb021517a791a07a3a6d391df8b5e2f06bb5bad35983de5a92e0d3165c732,30
bounding_box_dataset/tomato/val/early_blight/80756.jpg,early_blight,tomato,a3cc068b809fcdeefe8ed8941109290c2900560b3ef7be6b32b95c75970d0fc9,34
clean_dataset/tomato_dataset/val/early_blight/80756.jpg,early_blight,tomato_dataset,b5b6cf6ea0dd788509cc85fd1193fc4802a3973fcd1041ec4048d1e666d8be09,34
clean_dataset/tomato_dataset/val/early_blight/80784.jpg,early_blight,tomato_dataset,5a12d2f3412bf033d880a9c0d57df4d2a5c68d1a2e0681bba1fc74fa3c2a54e8,37
bounding_box_dataset/tomato/val/early_blight/80784.jpg,early_blight,tomato,1c673f8042da463116b5a9e34f222b5da3f2eca6e7687186b1916d313859a922,37
bounding_box_dataset/tomato/val/early_blight/80788.jpg,early_blight,tomato,cc87830acc1ef7557db21633df346535b4ae1fe50f0598e270a25bd588ac1c5f,38
clean_dataset/tomato_dataset/val/early_blight/80788.jpg,early_blight,tomato_dataset,3731377924ec3e41d902da3c237230e1350c90861fef784a0c30626a27c289b5,38
clean_dataset/tomato_dataset/val/early_blight/80813.jpg,early_blight,tomato_dataset,e77e91235053ab4ff927f534ebbb681ef4ae091b3dee3a527c854dc545413cc9,42
bounding_box_dataset/tomato/val/early_blight/80813.jpg,early_blight,tomato,02a10c6f47619f3e927384ed42e9a83a82e36037b9f95b63a34e9fc6be973873,42
bounding_box_dataset/tomato/val/early_blight/80854.jpg,early_blight,tomato,994e21d1695655024151071207a4118e9a0df01ce52f3be71257736404140997,48
