epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7986940741539001,0.0010000000474974513,0.49088698625564575,0.902746856212616,0.2637496590614319
1,0.899028480052948,0.0010000000474974513,0.27959302067756653,0.9398663640022278,0.18084831535816193
2,0.9230769276618958,0.0010000000474974513,0.2247709333896637,0.9532294273376465,0.1437377631664276
3,0.9297658801078796,0.0010000000474974513,0.19710512459278107,0.9636228680610657,0.1228395625948906
4,0.9353400468826294,0.0010000000474974513,0.18282648921012878,0.9621380567550659,0.10990384966135025
0,0.9560439586639404,2.9999999242136255e-05,0.12896135449409485,0.9829249978065491,0.05460558831691742
1,0.9711737632751465,2.9999999242136255e-05,0.08089610934257507,0.9888641238212585,0.03709907457232475
2,0.9835960865020752,2.9999999242136255e-05,0.05399150028824806,0.9918336868286133,0.024135954678058624
3,0.9872590899467468,2.9999999242136255e-05,0.03941778838634491,0.988121747970581,0.027401814237236977
4,0.989170253276825,2.9999999242136255e-05,0.030583344399929047,0.9888641238212585,0.031304605305194855
5,0.9921962022781372,1.4999999621068127e-05,0.022852882742881775,0.9910913109779358,0.025931235402822495
6,0.993470311164856,1.4999999621068127e-05,0.02350589819252491,0.9903489351272583,0.024818055331707
7,0.9949036240577698,7.499999810534064e-06,0.020257791504263878,0.9918336868286133,0.024696465581655502
