epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.764134407043457,0.0010000000474974513,0.5560501217842102,0.9354120492935181,0.21445994079113007
1,0.9044433832168579,0.0010000000474974513,0.25732818245887756,0.9613956809043884,0.14066028594970703
2,0.9307214617729187,0.0010000000474974513,0.19444307684898376,0.9717891812324524,0.10818144679069519
3,0.9415512084960938,0.0010000000474974513,0.16368016600608826,0.9747587442398071,0.09446129202842712
4,0.9477623701095581,0.0010000000474974513,0.14786887168884277,0.9777283072471619,0.08003821969032288
0,0.9692625999450684,4.999999873689376e-05,0.09214215725660324,0.9925761222839355,0.025623230263590813
1,0.9829590916633606,4.999999873689376e-05,0.05302153527736664,0.993318498134613,0.020851638168096542
2,0.9912406206130981,4.999999873689376e-05,0.02932245284318924,0.9940608739852905,0.01540196780115366
3,0.9925147294998169,4.999999873689376e-05,0.024285437539219856,0.9910913109779358,0.02899947017431259
4,0.9966555237770081,4.999999873689376e-05,0.011316279880702496,0.9955456852912903,0.010920035652816296
5,0.9969740509986877,4.999999873689376e-05,0.009044643491506577,0.994803249835968,0.007022347766906023
6,0.997770369052887,4.999999873689376e-05,0.006517351139336824,0.9977728128433228,0.0069530014880001545
7,0.995699942111969,4.999999873689376e-05,0.01056678593158722,0.9940608739852905,0.014226118102669716
8,0.9984073638916016,2.499999936844688e-05,0.005838245153427124,0.9970304369926453,0.007723854389041662
9,0.9988851547241211,2.499999936844688e-05,0.0029759975150227547,0.9962880611419678,0.006594879552721977
10,0.9988851547241211,2.499999936844688e-05,0.003528743516653776,0.9962880611419678,0.006983842700719833
11,0.9993629455566406,2.499999936844688e-05,0.0025063101202249527,0.9962880611419678,0.009347056970000267
12,0.9995222091674805,1.249999968422344e-05,0.0019365233602002263,0.9970304369926453,0.005998511798679829
13,0.9995222091674805,1.249999968422344e-05,0.0015668426640331745,0.9977728128433228,0.00467262277379632
14,0.9992036819458008,1.249999968422344e-05,0.0018681550864130259,0.9977728128433228,0.005839984863996506
