image_id,category,ground_truth,family_id,symptom_stage,lesion_area,mode_a_diag,mode_a_state,mode_b_diag,mode_b_state,sym_diag,sym_state,asym_diag,asym_state,asym_reason,confidence,margin,d_to_h_mode_a,d_to_h_mode_b,d_to_h_sym,d_to_h_asym
potatotest.png,historical_early_blight,early_blight,FAM_REAL_01,nascent_target_spot,3.5%,early_blight,accepted,early_blight,accepted,early_blight,accepted,early_blight,accepted,CONSENSUS_AGREEMENT,0.7716,0.5456,False,False,False,False
potatotest2.png,historical_late_blight,late_blight,FAM_REAL_02,mature_water_soaked,18.0%,late_blight,accepted,healthy,accepted,late_blight,accepted,uncertain,uncertain,DIVERGENCE_RECAPTURE_NEEDED,0.9991,0.2672,False,True,False,False
potatotest2_cropped.png,historical_late_blight,late_blight,FAM_REAL_02,marginal_water_soaked,8.2%,late_blight,accepted,early_blight,accepted,uncertain,uncertain,early_blight,accepted,CROSS_DISEASE_RETICLE_DOMINANCE,0.743,0.5739,False,False,False,False
test5.png,historical_early_blight,early_blight,FAM_REAL_03,expanding_concentric_ring,12.0%,early_blight,accepted,early_blight,accepted,early_blight,accepted,early_blight,accepted,CONSENSUS_AGREEMENT,0.9834,0.9675,False,False,False,False
test6_r.jpg,historical_late_blight,late_blight,FAM_REAL_04,water_soaked_tip,14.5%,early_blight,accepted,uncertain,uncertain,early_blight,accepted,early_blight,accepted,CONSENSUS_AGREEMENT,0.9912,0.9863,False,False,False,False
test7_r.webp,historical_healthy,healthy,FAM_REAL_05,unblemished_foliage,0.0%,late_blight,accepted,late_blight,accepted,late_blight,accepted,late_blight,accepted,CONSENSUS_AGREEMENT,0.9945,0.9893,False,False,False,False
test9.webp,historical_early_blight,early_blight,FAM_REAL_06,multiple_target_spots,22.0%,early_blight,accepted,early_blight,accepted,early_blight,accepted,early_blight,accepted,CONSENSUS_AGREEMENT,1.0,1.0,False,False,False,False
test10.webp,historical_healthy,healthy,FAM_REAL_07,unblemished_foliage,0.0%,late_blight,accepted,late_blight,accepted,late_blight,accepted,late_blight,accepted,CONSENSUS_AGREEMENT,0.9944,0.9888,False,False,False,False
test11.webp,historical_healthy,healthy,FAM_REAL_08,healthy_garden_leaf,0.0%,healthy,accepted,healthy,accepted,healthy,accepted,healthy,accepted,CONSENSUS_AGREEMENT,1.0,1.0,False,False,False,False
test3image.png,historical_healthy,healthy,FAM_REAL_09,healthy_leaf_blade,0.0%,healthy,accepted,healthy,accepted,healthy,accepted,healthy,accepted,CONSENSUS_AGREEMENT,1.0,1.0,False,False,False,False
test4.png,historical_healthy,healthy,FAM_REAL_10,healthy_leaf_blade,0.0%,healthy,accepted,healthy,accepted,healthy,accepted,healthy,accepted,CONSENSUS_AGREEMENT,1.0,1.0,False,False,False,False
val_early_blight_67372.jpg,stratified_val_early_blight,early_blight,FAM_VAL_EARLY_BLIGHT_001,canonical_validation_phenotype,10-25%,early_blight,accepted,early_blight,accepted,early_blight,accepted,early_blight,accepted,CONSENSUS_AGREEMENT,1.0,1.0,False,False,False,False
val_early_blight_67379.jpg,stratified_val_early_blight,early_blight,FAM_VAL_EARLY_BLIGHT_002,canonical_validation_phenotype,10-25%,early_blight,accepted,early_blight,accepted,early_blight,accepted,early_blight,accepted,CONSENSUS_AGREEMENT,1.0,1.0,False,False,False,False
